AC No	Enroll No	Name	Auto Assign	InOut	VerifyCode	Door/Device	Time
38	3	"ARSHIN ALBAB"	1	0	1	MainDoor	2026-11-04 19:45:14
38	3	"ARSHIN ALBAB"	1	1	1	MainDoor	2026-11-04 19:45:14
39	4	"SUBRAMANYA"	1	0	1	MainDoor	2026-11-04 18:12:29
39	4	"SUBRAMANYA"	1	1	1	MainDoor	2026-11-04 18:12:29
40	5	"SURESH"	1	0	1	MainDoor	2026-11-04 17:17:08
40	5	"SURESH"	1	1	1	MainDoor	2026-11-04 17:17:08
41	6	"SAI KIRAN"	1	0	1	MainDoor	2026-11-04 18:28:47
41	6	"SAI KIRAN"	1	1	1	MainDoor	2026-11-04 18:28:47
42	7	"KARTHIKEYAN"	1	0	1	MainDoor	2026-11-04 19:24:07
42	7	"KARTHIKEYAN"	1	1	1	MainDoor	2026-11-04 19:24:07
43	8	"JEEVAN"	1	0	1	MainDoor	2026-11-04 17:57:18
43	8	"JEEVAN"	1	1	1	MainDoor	2026-11-04 17:57:18
44	9	"MOHITH"	1	0	1	MainDoor	2026-11-04 17:07:22
44	9	"MOHITH"	1	1	1	MainDoor	2026-11-04 17:07:22
45	10	"RACHITH M R"	1	0	1	MainDoor	2026-11-04 19:34:15
45	10	"RACHITH M R"	1	1	1	MainDoor	2026-11-04 19:34:15
46	11	"ABHISHEK"	1	0	1	MainDoor	2026-11-04 19:50:28
46	11	"ABHISHEK"	1	1	1	MainDoor	2026-11-04 19:50:28
47	12	"PRITHESH"	1	0	1	MainDoor	2026-11-04 18:29:16
47	12	"PRITHESH"	1	1	1	MainDoor	2026-11-04 18:29:16
48	13	"GAUTHAM"	1	0	1	MainDoor	2026-11-04 17:41:24
48	13	"GAUTHAM"	1	1	1	MainDoor	2026-11-04 17:41:24
49	14	"AKASH"	1	0	1	MainDoor	2026-11-04 17:44:23
49	14	"AKASH"	1	1	1	MainDoor	2026-11-04 17:44:23
50	16	"T"	1	0	1	MainDoor	2026-11-04 17:52:10
50	16	"T"	1	1	1	MainDoor	2026-11-04 17:52:10
51	1	"RACHITH"	1	0	1	MainDoor	2026-11-05 17:18:49
51	1	"RACHITH"	1	1	1	MainDoor	2026-11-05 17:18:49
52	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-05 17:21:11
52	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-05 17:21:11
53	3	"ARSHIN ALBAB"	1	0	1	MainDoor	2026-11-05 19:31:28
53	3	"ARSHIN ALBAB"	1	1	1	MainDoor	2026-11-05 19:31:28
54	4	"SUBRAMANYA"	1	0	1	MainDoor	2026-11-05 18:29:38
54	4	"SUBRAMANYA"	1	1	1	MainDoor	2026-11-05 18:29:38
55	5	"SURESH"	1	0	1	MainDoor	2026-11-05 18:11:46
55	5	"SURESH"	1	1	1	MainDoor	2026-11-05 18:11:46
56	6	"SAI KIRAN"	1	0	1	MainDoor	2026-11-05 19:31:57
56	6	"SAI KIRAN"	1	1	1	MainDoor	2026-11-05 19:31:57
57	7	"KARTHIKEYAN"	1	0	1	MainDoor	2026-11-05 18:34:12
57	7	"KARTHIKEYAN"	1	1	1	MainDoor	2026-11-05 18:34:12
58	8	"JEEVAN"	1	0	1	MainDoor	2026-11-05 17:10:27
58	8	"JEEVAN"	1	1	1	MainDoor	2026-11-05 17:10:27
59	9	"MOHITH"	1	0	1	MainDoor	2026-11-05 17:29:28
59	9	"MOHITH"	1	1	1	MainDoor	2026-11-05 17:29:28
60	10	"RACHITH M R"	1	0	1	MainDoor	2026-11-05 19:18:22
60	10	"RACHITH M R"	1	1	1	MainDoor	2026-11-05 19:18:22
61	11	"ABHISHEK"	1	0	1	MainDoor	2026-11-05 18:57:40
61	11	"ABHISHEK"	1	1	1	MainDoor	2026-11-05 18:57:40
62	12	"PRITHESH"	1	0	1	MainDoor	2026-11-05 17:09:20
62	12	"PRITHESH"	1	1	1	MainDoor	2026-11-05 17:09:20
63	13	"GAUTHAM"	1	0	1	MainDoor	2026-11-05 18:32:59
63	13	"GAUTHAM"	1	1	1	MainDoor	2026-11-05 18:32:59
64	14	"AKASH"	1	0	1	MainDoor	2026-11-05 18:40:28
64	14	"AKASH"	1	1	1	MainDoor	2026-11-05 18:40:28
65	16	"T"	1	0	1	MainDoor	2026-11-05 17:54:09
65	16	"T"	1	1	1	MainDoor	2026-11-05 17:54:09
66	1	"RACHITH"	1	0	1	MainDoor	2026-11-06 17:48:02
66	1	"RACHITH"	1	1	1	MainDoor	2026-11-06 17:48:02
67	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-06 17:52:35
67	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-06 17:52:35
68	4	"SUBRAMANYA"	1	0	1	MainDoor	2026-11-06 17:25:18
68	4	"SUBRAMANYA"	1	1	1	MainDoor	2026-11-06 17:25:18
69	5	"SURESH"	1	0	1	MainDoor	2026-11-06 17:42:21
69	5	"SURESH"	1	1	1	MainDoor	2026-11-06 17:42:21
70	6	"SAI KIRAN"	1	0	1	MainDoor	2026-11-06 17:32:47
70	6	"SAI KIRAN"	1	1	1	MainDoor	2026-11-06 17:32:47
71	7	"KARTHIKEYAN"	1	0	1	MainDoor	2026-11-06 17:10:20
71	7	"KARTHIKEYAN"	1	1	1	MainDoor	2026-11-06 17:10:20
72	8	"JEEVAN"	1	0	1	MainDoor	2026-11-06 18:45:03
72	8	"JEEVAN"	1	1	1	MainDoor	2026-11-06 18:45:03
73	9	"MOHITH"	1	0	1	MainDoor	2026-11-06 19:45:26
73	9	"MOHITH"	1	1	1	MainDoor	2026-11-06 19:45:26
74	10	"RACHITH M R"	1	0	1	MainDoor	2026-11-06 17:25:02
74	10	"RACHITH M R"	1	1	1	MainDoor	2026-11-06 17:25:02
75	11	"ABHISHEK"	1	0	1	MainDoor	2026-11-06 17:33:10
75	11	"ABHISHEK"	1	1	1	MainDoor	2026-11-06 17:33:10
76	12	"PRITHESH"	1	0	1	MainDoor	2026-11-06 17:54:50
76	12	"PRITHESH"	1	1	1	MainDoor	2026-11-06 17:54:50
77	13	"GAUTHAM"	1	0	1	MainDoor	2026-11-06 18:24:31
77	13	"GAUTHAM"	1	1	1	MainDoor	2026-11-06 18:24:31
78	14	"AKASH"	1	0	1	MainDoor	2026-11-06 18:21:02
78	14	"AKASH"	1	1	1	MainDoor	2026-11-06 18:21:02
79	16	"T"	1	0	1	MainDoor	2026-11-06 19:38:13
79	16	"T"	1	1	1	MainDoor	2026-11-06 19:38:13
80	17	"SUBRAMANYA K P"	1	0	1	MainDoor	2026-11-06 18:59:42
80	17	"SUBRAMANYA K P"	1	1	1	MainDoor	2026-11-06 18:59:42
81	5	"SURESH"	1	0	1	MainDoor	2026-11-07 18:22:37
81	5	"SURESH"	1	1	1	MainDoor	2026-11-07 18:22:37
82	6	"SAI KIRAN"	1	0	1	MainDoor	2026-11-08 18:37:01
82	6	"SAI KIRAN"	1	1	1	MainDoor	2026-11-08 18:37:01
83	10	"RACHITH M R"	1	0	1	MainDoor	2026-11-08 19:21:51
83	10	"RACHITH M R"	1	1	1	MainDoor	2026-11-08 19:21:51
84	1	"RACHITH"	1	0	1	MainDoor	2026-11-09 19:10:29
84	1	"RACHITH"	1	1	1	MainDoor	2026-11-09 19:10:29
85	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-09 19:31:03
85	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-09 19:31:03
86	3	"ARSHIN ALBAB"	1	0	1	MainDoor	2026-11-09 17:55:38
86	3	"ARSHIN ALBAB"	1	1	1	MainDoor	2026-11-09 17:55:38
87	4	"SUBRAMANYA"	1	0	1	MainDoor	2026-11-09 18:40:11
87	4	"SUBRAMANYA"	1	1	1	MainDoor	2026-11-09 18:40:11
88	5	"SURESH"	1	0	1	MainDoor	2026-11-09 18:17:41
88	5	"SURESH"	1	1	1	MainDoor	2026-11-09 18:17:41
89	6	"SAI KIRAN"	1	0	1	MainDoor	2026-11-09 17:36:16
89	6	"SAI KIRAN"	1	1	1	MainDoor	2026-11-09 17:36:16
90	7	"KARTHIKEYAN"	1	0	1	MainDoor	2026-11-09 18:28:22
90	7	"KARTHIKEYAN"	1	1	1	MainDoor	2026-11-09 18:28:22
91	8	"JEEVAN"	1	0	1	MainDoor	2026-11-09 17:41:22
91	8	"JEEVAN"	1	1	1	MainDoor	2026-11-09 17:41:22
92	9	"MOHITH"	1	0	1	MainDoor	2026-11-09 16:31:32
92	9	"MOHITH"	1	1	1	MainDoor	2026-11-09 16:31:32
93	10	"RACHITH M R"	1	0	1	MainDoor	2026-11-09 18:44:07
93	10	"RACHITH M R"	1	1	1	MainDoor	2026-11-09 18:44:07
94	11	"ABHISHEK"	1	0	1	MainDoor	2026-11-09 17:18:57
94	11	"ABHISHEK"	1	1	1	MainDoor	2026-11-09 17:18:57
95	12	"PRITHESH"	1	0	1	MainDoor	2026-11-09 17:53:33
95	12	"PRITHESH"	1	1	1	MainDoor	2026-11-09 17:53:33
96	13	"GAUTHAM"	1	0	1	MainDoor	2026-11-09 19:16:50
96	13	"GAUTHAM"	1	1	1	MainDoor	2026-11-09 19:16:50
97	14	"AKASH"	1	0	1	MainDoor	2026-11-09 17:36:20
97	14	"AKASH"	1	1	1	MainDoor	2026-11-09 17:36:20
98	16	"T"	1	0	1	MainDoor	2026-11-09 17:01:31
98	16	"T"	1	1	1	MainDoor	2026-11-09 17:01:31
99	17	"SUBRAMANYA K P"	1	0	1	MainDoor	2026-11-09 18:31:17
99	17	"SUBRAMANYA K P"	1	1	1	MainDoor	2026-11-09 18:31:17
100	1	"RACHITH"	1	0	1	MainDoor	2026-11-10 19:17:50
100	1	"RACHITH"	1	1	1	MainDoor	2026-11-10 19:17:50
101	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-10 19:57:45
101	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-10 19:57:45
102	3	"ARSHIN ALBAB"	1	0	1	MainDoor	2026-11-10 17:46:03
102	3	"ARSHIN ALBAB"	1	1	1	MainDoor	2026-11-10 17:46:03
103	4	"SUBRAMANYA"	1	0	1	MainDoor	2026-11-10 18:13:56
103	4	"SUBRAMANYA"	1	1	1	MainDoor	2026-11-10 18:13:56
104	5	"SURESH"	1	0	1	MainDoor	2026-11-10 18:59:32
104	5	"SURESH"	1	1	1	MainDoor	2026-11-10 18:59:32
105	6	"SAI KIRAN"	1	0	1	MainDoor	2026-11-10 18:27:55
105	6	"SAI KIRAN"	1	1	1	MainDoor	2026-11-10 18:27:55
106	7	"KARTHIKEYAN"	1	0	1	MainDoor	2026-11-10 19:25:13
106	7	"KARTHIKEYAN"	1	1	1	MainDoor	2026-11-10 19:25:13
107	8	"JEEVAN"	1	0	1	MainDoor	2026-11-10 19:39:44
107	8	"JEEVAN"	1	1	1	MainDoor	2026-11-10 19:39:44
108	9	"MOHITH"	1	0	1	MainDoor	2026-11-10 17:50:26
108	9	"MOHITH"	1	1	1	MainDoor	2026-11-10 17:50:26
109	10	"RACHITH M R"	1	0	1	MainDoor	2026-11-10 18:59:41
109	10	"RACHITH M R"	1	1	1	MainDoor	2026-11-10 18:59:41
110	11	"ABHISHEK"	1	0	1	MainDoor	2026-11-10 18:13:55
110	11	"ABHISHEK"	1	1	1	MainDoor	2026-11-10 18:13:55
111	12	"PRITHESH"	1	0	1	MainDoor	2026-11-10 18:49:22
111	12	"PRITHESH"	1	1	1	MainDoor	2026-11-10 18:49:22
112	13	"GAUTHAM"	1	0	1	MainDoor	2026-11-10 17:14:58
112	13	"GAUTHAM"	1	1	1	MainDoor	2026-11-10 17:14:58
113	14	"AKASH"	1	0	1	MainDoor	2026-11-10 17:51:21
113	14	"AKASH"	1	1	1	MainDoor	2026-11-10 17:51:21
114	16	"T"	1	0	1	MainDoor	2026-11-10 18:35:46
114	16	"T"	1	1	1	MainDoor	2026-11-10 18:35:46
115	17	"SUBRAMANYA K P"	1	0	1	MainDoor	2026-11-10 17:51:36
115	17	"SUBRAMANYA K P"	1	1	1	MainDoor	2026-11-10 17:51:36
116	1	"RACHITH"	1	0	1	MainDoor	2026-11-11 18:46:43
116	1	"RACHITH"	1	1	1	MainDoor	2026-11-11 18:46:43
117	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-11 18:02:47
117	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-11 18:02:47
118	3	"ARSHIN ALBAB"	1	0	1	MainDoor	2026-11-11 19:50:14
118	3	"ARSHIN ALBAB"	1	1	1	MainDoor	2026-11-11 19:50:14
119	4	"SUBRAMANYA"	1	0	1	MainDoor	2026-11-11 18:18:18
119	4	"SUBRAMANYA"	1	1	1	MainDoor	2026-11-11 18:18:18
120	5	"SURESH"	1	0	1	MainDoor	2026-11-11 18:27:03
120	5	"SURESH"	1	1	1	MainDoor	2026-11-11 18:27:03
121	6	"SAI KIRAN"	1	0	1	MainDoor	2026-11-11 17:24:27
121	6	"SAI KIRAN"	1	1	1	MainDoor	2026-11-11 17:24:27
122	7	"KARTHIKEYAN"	1	0	1	MainDoor	2026-11-11 17:03:38
122	7	"KARTHIKEYAN"	1	1	1	MainDoor	2026-11-11 17:03:38
123	8	"JEEVAN"	1	0	1	MainDoor	2026-11-11 17:18:21
123	8	"JEEVAN"	1	1	1	MainDoor	2026-11-11 17:18:21
124	12	"PRITHESH"	1	0	1	MainDoor	2026-11-11 18:02:13
124	12	"PRITHESH"	1	1	1	MainDoor	2026-11-11 18:02:13
125	13	"GAUTHAM"	1	0	1	MainDoor	2026-11-11 17:36:16
125	13	"GAUTHAM"	1	1	1	MainDoor	2026-11-11 17:36:16
126	14	"AKASH"	1	0	1	MainDoor	2026-11-11 19:55:40
126	14	"AKASH"	1	1	1	MainDoor	2026-11-11 19:55:40
127	16	"T"	1	0	1	MainDoor	2026-11-11 17:05:25
127	16	"T"	1	1	1	MainDoor	2026-11-11 17:05:25
128	17	"SUBRAMANYA K P"	1	0	1	MainDoor	2026-11-11 18:32:05
128	17	"SUBRAMANYA K P"	1	1	1	MainDoor	2026-11-11 18:32:05
129	1	"RACHITH"	1	0	1	MainDoor	2026-11-12 18:24:01
129	1	"RACHITH"	1	1	1	MainDoor	2026-11-12 18:24:01
130	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-12 19:12:05
130	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-12 19:12:05
131	3	"ARSHIN ALBAB"	1	0	1	MainDoor	2026-11-12 18:32:18
131	3	"ARSHIN ALBAB"	1	1	1	MainDoor	2026-11-12 18:32:18
132	4	"SUBRAMANYA"	1	0	1	MainDoor	2026-11-12 18:00:55
132	4	"SUBRAMANYA"	1	1	1	MainDoor	2026-11-12 18:00:55
133	5	"SURESH"	1	0	1	MainDoor	2026-11-12 17:44:38
133	5	"SURESH"	1	1	1	MainDoor	2026-11-12 17:44:38
134	6	"SAI KIRAN"	1	0	1	MainDoor	2026-11-12 17:32:54
134	6	"SAI KIRAN"	1	1	1	MainDoor	2026-11-12 17:32:54
135	7	"KARTHIKEYAN"	1	0	1	MainDoor	2026-11-12 17:02:04
135	7	"KARTHIKEYAN"	1	1	1	MainDoor	2026-11-12 17:02:04
136	8	"JEEVAN"	1	0	1	MainDoor	2026-11-12 19:03:35
136	8	"JEEVAN"	1	1	1	MainDoor	2026-11-12 19:03:35
137	9	"MOHITH"	1	0	1	MainDoor	2026-11-12 18:34:08
137	9	"MOHITH"	1	1	1	MainDoor	2026-11-12 18:34:08
138	10	"RACHITH M R"	1	0	1	MainDoor	2026-11-12 18:34:31
138	10	"RACHITH M R"	1	1	1	MainDoor	2026-11-12 18:34:31
139	11	"ABHISHEK"	1	0	1	MainDoor	2026-11-12 19:34:25
139	11	"ABHISHEK"	1	1	1	MainDoor	2026-11-12 19:34:25
140	12	"PRITHESH"	1	0	1	MainDoor	2026-11-12 18:06:20
140	12	"PRITHESH"	1	1	1	MainDoor	2026-11-12 18:06:20
141	13	"GAUTHAM"	1	0	1	MainDoor	2026-11-12 19:04:36
141	13	"GAUTHAM"	1	1	1	MainDoor	2026-11-12 19:04:36
142	14	"AKASH"	1	0	1	MainDoor	2026-11-12 19:54:44
142	14	"AKASH"	1	1	1	MainDoor	2026-11-12 19:54:44
143	16	"T"	1	0	1	MainDoor	2026-11-12 17:17:09
143	16	"T"	1	1	1	MainDoor	2026-11-12 17:17:09
144	17	"SUBRAMANYA K P"	1	0	1	MainDoor	2026-11-12 19:28:29
144	17	"SUBRAMANYA K P"	1	1	1	MainDoor	2026-11-12 19:28:29
145	1	"RACHITH"	1	0	1	MainDoor	2026-11-13 17:40:07
145	1	"RACHITH"	1	1	1	MainDoor	2026-11-13 17:40:07
146	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-13 19:33:56
146	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-13 19:33:56
147	3	"ARSHIN ALBAB"	1	0	1	MainDoor	2026-11-13 18:20:14
147	3	"ARSHIN ALBAB"	1	1	1	MainDoor	2026-11-13 18:20:14
148	4	"SUBRAMANYA"	1	0	1	MainDoor	2026-11-13 19:31:16
148	4	"SUBRAMANYA"	1	1	1	MainDoor	2026-11-13 19:31:16
149	5	"SURESH"	1	0	1	MainDoor	2026-11-13 17:56:54
149	5	"SURESH"	1	1	1	MainDoor	2026-11-13 17:56:54
150	6	"SAI KIRAN"	1	0	1	MainDoor	2026-11-13 17:56:43
150	6	"SAI KIRAN"	1	1	1	MainDoor	2026-11-13 17:56:43
151	7	"KARTHIKEYAN"	1	0	1	MainDoor	2026-11-13 18:34:21
151	7	"KARTHIKEYAN"	1	1	1	MainDoor	2026-11-13 18:34:21
152	8	"JEEVAN"	1	0	1	MainDoor	2026-11-13 18:54:28
152	8	"JEEVAN"	1	1	1	MainDoor	2026-11-13 18:54:28
153	9	"MOHITH"	1	0	1	MainDoor	2026-11-13 19:55:04
153	9	"MOHITH"	1	1	1	MainDoor	2026-11-13 19:55:04
154	10	"RACHITH M R"	1	0	1	MainDoor	2026-11-13 18:19:30
154	10	"RACHITH M R"	1	1	1	MainDoor	2026-11-13 18:19:30
155	11	"ABHISHEK"	1	0	1	MainDoor	2026-11-13 19:19:03
155	11	"ABHISHEK"	1	1	1	MainDoor	2026-11-13 19:19:03
156	12	"PRITHESH"	1	0	1	MainDoor	2026-11-13 19:17:26
156	12	"PRITHESH"	1	1	1	MainDoor	2026-11-13 19:17:26
157	13	"GAUTHAM"	1	0	1	MainDoor	2026-11-13 19:57:52
157	13	"GAUTHAM"	1	1	1	MainDoor	2026-11-13 19:57:52
158	14	"AKASH"	1	0	1	MainDoor	2026-11-13 17:39:33
158	14	"AKASH"	1	1	1	MainDoor	2026-11-13 17:39:33
159	16	"T"	1	0	1	MainDoor	2026-11-13 17:50:08
159	16	"T"	1	1	1	MainDoor	2026-11-13 17:50:08
160	17	"SUBRAMANYA K P"	1	0	1	MainDoor	2026-11-13 18:48:49
160	17	"SUBRAMANYA K P"	1	1	1	MainDoor	2026-11-13 18:48:49
161	12	"PRITHESH"	1	0	1	MainDoor	2026-11-14 19:28:29
161	12	"PRITHESH"	1	1	1	MainDoor	2026-11-14 19:28:29
162	14	"AKASH"	1	0	1	MainDoor	2026-11-14 19:35:11
162	14	"AKASH"	1	1	1	MainDoor	2026-11-14 19:35:11
163	1	"RACHITH"	1	0	1	MainDoor	2026-11-16 19:17:18
163	1	"RACHITH"	1	1	1	MainDoor	2026-11-16 19:17:18
164	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-16 17:51:42
164	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-16 17:51:42
165	4	"SUBRAMANYA"	1	0	1	MainDoor	2026-11-16 17:35:50
165	4	"SUBRAMANYA"	1	1	1	MainDoor	2026-11-16 17:35:50
166	5	"SURESH"	1	0	1	MainDoor	2026-11-16 18:57:18
166	5	"SURESH"	1	1	1	MainDoor	2026-11-16 18:57:18
167	7	"KARTHIKEYAN"	1	0	1	MainDoor	2026-11-16 19:21:10
167	7	"KARTHIKEYAN"	1	1	1	MainDoor	2026-11-16 19:21:10
168	8	"JEEVAN"	1	0	1	MainDoor	2026-11-16 19:16:43
168	8	"JEEVAN"	1	1	1	MainDoor	2026-11-16 19:16:43
169	9	"MOHITH"	1	0	1	MainDoor	2026-11-16 19:15:43
169	9	"MOHITH"	1	1	1	MainDoor	2026-11-16 19:15:43
170	10	"RACHITH M R"	1	0	1	MainDoor	2026-11-16 17:51:58
170	10	"RACHITH M R"	1	1	1	MainDoor	2026-11-16 17:51:58
171	11	"ABHISHEK"	1	0	1	MainDoor	2026-11-16 17:10:53
171	11	"ABHISHEK"	1	1	1	MainDoor	2026-11-16 17:10:53
172	12	"PRITHESH"	1	0	1	MainDoor	2026-11-16 18:27:42
172	12	"PRITHESH"	1	1	1	MainDoor	2026-11-16 18:27:42
173	13	"GAUTHAM"	1	0	1	MainDoor	2026-11-16 18:46:24
173	13	"GAUTHAM"	1	1	1	MainDoor	2026-11-16 18:46:24
174	14	"AKASH"	1	0	1	MainDoor	2026-11-16 19:48:52
174	14	"AKASH"	1	1	1	MainDoor	2026-11-16 19:48:52
175	16	"T"	1	0	1	MainDoor	2026-11-16 18:28:25
175	16	"T"	1	1	1	MainDoor	2026-11-16 18:28:25
176	17	"SUBRAMANYA K P"	1	0	1	MainDoor	2026-11-16 17:25:04
176	17	"SUBRAMANYA K P"	1	1	1	MainDoor	2026-11-16 17:25:04
177	1	"RACHITH"	1	0	1	MainDoor	2026-11-17 19:36:02
177	1	"RACHITH"	1	1	1	MainDoor	2026-11-17 19:36:02
178	2	"ASHOKA KIRAN"	1	0	1	MainDoor	2026-11-17 19:15:12
178	2	"ASHOKA KIRAN"	1	1	1	MainDoor	2026-11-17 19:15:12
179	3	"ARSHIN ALBAB"	1	0	1	MainDoor	2026-11-17 19:01:19
